AŃO,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Comunidad Foral de Navarra,Asia,Tailandia,600,3600,6.0
2019,7,Comunidad Foral de Navarra,Europa,Alemania,68770,419500,6.1
2019,7,Comunidad Foral de Navarra,Europa,Andorra,910,3370,3.7
2019,7,Comunidad Foral de Navarra,Europa,Austria,11870,78340,6.6
2019,7,Comunidad Foral de Navarra,Europa,Belarús,300,1200,4.0
2019,7,Comunidad Foral de Navarra,Europa,Bulgaria,7470,58270,7.8
2019,7,Comunidad Foral de Navarra,Europa,Bélgica,24740,123700,5.0
2019,7,Comunidad Foral de Navarra,Europa,Croacia,300,1530,5.1
2019,7,Comunidad Foral de Navarra,Europa,Dinamarca,5120,32770,6.4
2019,7,Comunidad Foral de Navarra,Europa,Eslovenia,830,5150,6.2
2019,7,Comunidad Foral de Navarra,Europa,Estonia,890,4090,4.6
2019,7,Comunidad Foral de Navarra,Europa,Finlandia,870,5740,6.6
2019,7,Comunidad Foral de Navarra,Europa,Francia,461220,1568150,3.4
2019,7,Comunidad Foral de Navarra,Europa,Grecia,500,3500,7.0
2019,7,Comunidad Foral de Navarra,Europa,Hungría,2620,13100,5.0
2019,7,Comunidad Foral de Navarra,Europa,Irlanda,10460,63810,6.1
2019,7,Comunidad Foral de Navarra,Europa,Islandia,380,2430,6.4
2019,7,Comunidad Foral de Navarra,Europa,Italia,35430,184240,5.2
2019,7,Comunidad Foral de Navarra,Europa,Letonia,720,2880,4.0
2019,7,Comunidad Foral de Navarra,Europa,Liechtenstein,1170,6080,5.2
2019,7,Comunidad Foral de Navarra,Europa,Lituania,7250,23200,3.2
2019,7,Comunidad Foral de Navarra,Europa,Luxemburgo,5530,35950,6.5
2019,7,Comunidad Foral de Navarra,Europa,Moldavia,900,6570,7.3
2019,7,Comunidad Foral de Navarra,Europa,Noruega,1880,10900,5.8
